Watchlist 'nyse4'

nyse4
Symbol,Last,Price / Earnings Ratio - Current,Market Cap
A,117.37,51.769,"36,015 M"
AA,21.61,-8.6985,"4,018 M"
AAL,15.48,-1.235,"9,455 M"
AAN,17.13,-2.4708,579 M
AAP,159.40,23.283,"10,816 M"
AAT,28.10,44.967,"1,694 M"
AAU,.4861,<empty>,59 M
AB,33.37,12.06,"3,209 M"
ABB,27.08,10.038,"55,752 M"
ABC,96.72,-5.9241,"19,755 M"
ABG,137.61,13.175,"2,654 M"
ABM,38.44,8952.9,"2,566 M"
ABR,13.94,16.83,"1,720 M"
ABT,108.28,57.606,"191,911 M"
ACA,54.17,22.508,"2,615 M"
ACB,8.93,<empty>,"1,640 M"
ACC,43.60,82.805,"6,001 M"
ACH,8.52,-623.07,"5,801 M"
ACI,15.81,14.747,"7,473 M"
ACM,47.93,-40.764,"7,226 M"
ACN,259.47,32.793,"171,681 M"
ACP,10.825,<empty>,189 M
ADC,64.57,34.731,"3,575 M"
ADI,144.28,44.048,"53,309 M"
ADM,48.73,17.127,"27,113 M"
ADP,176.34,31.188,"75,617 M"
ADS,67.70,12.69,"3,359 M"
ADT,8.13,-10.828,"6,711 M"
ADV,13.54,-259.86,"4,244 M"
ADX,17.06,<empty>,"1,854 M"
AEB,25.06,<empty>,0
AEE,76.55,23.035,"18,924 M"
AEG,3.66,6.2112,"7,424 M"
AEL,27.02,2.9022,"2,681 M"
AEM,70.16,<empty>,"17,003 M"
AEO,19.45,-15.327,"3,232 M"
AEP,81.40,21.568,"40,406 M"
AER,40.97,<empty>,"5,316 M"
AES,22.82,-42.491,"15,178 M"
AEY,3.31,-2.1319,40 M
AFG,84.64,30.969,"7,350 M"
AFI,3.59,-1.3997,78 M
AFL,43.03,6.8894,"30,226 M"
AFT,14.25,<empty>,222 M
AG,12.21,<empty>,"2,701 M"
AGE,1.65,-5.6168,62 M
AGI,8.76,<empty>,"3,440 M"
AGO,30.39,<empty>,"2,456 M"
AGR,44.43,21.847,"13,751 M"
AGS,6.50,-3.4047,232 M
AGX,43.83,268.42,688 M
AHH,10.85,23.646,855 M
AHT,2.44,-.08162,130 M
AI,177.47,-240.88,"17,010 M"
AIF,14.25,<empty>,206 M
AIG,36.80,-6.4947,"31,704 M"
AIH,4.56,-3.5171,108 M
AIM,2.06,-2.7719,84 M
AIN,72.02,23.888,"2,326 M"
AIO,25.52,117.72,876 M
AIR,35.87,-60.305,"1,266 M"
AIT,77.34,161.57,"2,998 M"
AIV,5.08,4.3585,756 M
AIZ,131.49,19.504,"7,726 M"
AJG,123.81,32.806,"23,811 M"
AJX,10.31,13.574,237 M
AKR,13.90,56.131,"1,199 M"
AL,40.74,8.5334,"4,635 M"
ALB,146.27,38.796,"15,571 M"
ALC,64.46,<empty>,"31,534 M"
ALE,59.38,17.691,"3,086 M"
ALK,50.35,-8.8842,"6,226 M"
ALL,106.19,7.6039,"32,289 M"
ALT,13.55,-6.0711,448 M
ALV,92.07,52.14,"8,041 M"
AM,8.41,-11.144,"4,009 M"
AMC,2.59,-.08072,416 M
AMD,93.16,126.87,"112,172 M"
