symbol,to_consider,could_process,Adj_Close,AS_30,AS_90,AS_180,AS_360,Hurst,ATR_20,MA_100,position_size,Volume,close_gt_ma100,ma50_gt_ma100,max_min,AS_30_vol,AS_90_vol,AS_180_vol,AS_360_vol,Q_30,Q_90,Q_180,Q_360,Mean_4Q,Mean_3Q,Mean_Q,Q_30_vol,Q_90_vol,Q_180_vol,Q_360_vol,Mean_4Q_vol,Mean_3Q_vol,Mean_Q_vol,Mean_Final_Q,Stock_Value,sp_check
ADANIENT,True,True,718.95,6.25,6.5,7.32,0.62,0.68,28.3,427.43,4.0,16810897.0,True,True,2.3418566775244303,3.42,0.07,0.0,0.02,0.92,0.95,0.98,0.94,0.95,0.96,0.955,0.92,0.95,0.98,0.94,0.95,0.96,0.955,0.955,2875.8,False
DIXON,True,True,18673.1,3.14,6.11,3.6,2.37,0.95,867.13,11974.99,0.0,100700.0,True,True,2.3021144816233727,51.36,1.0,0.0,0.2,0.79,0.94,0.95,0.98,0.92,0.96,0.94,0.79,0.94,0.95,0.98,0.92,0.96,0.94,0.94,0.0,False
ACE,True,True,164.4,0.67,12.27,3.59,0.05,0.69,8.9,107.91,11.0,332392.0,True,True,2.42992700729927,17.94,4.42,0.01,0.42,0.68,0.97,0.94,0.78,0.84,0.9,0.87,0.68,0.97,0.94,0.78,0.84,0.9,0.87,0.87,1808.4,False
TCS,True,True,16.02,57.84,2.48,9.95,0.51,0.7,1.29,10.51,78.0,1019500.0,True,True,1.8869258998406049,109.4,0.0,7.67,1.3,0.96,0.68,0.98,0.91,0.88,0.86,0.87,0.96,0.68,0.98,0.91,0.88,0.86,0.87,0.87,1249.56,True
BEPL,True,True,138.65,-0.4,5.18,7.16,0.56,0.48,7.25,115.95,14.0,526121.0,True,True,2.1568877551020407,-0.47,0.0,0.0,0.13,0.1,0.9,0.97,0.92,0.72,0.93,0.825,0.1,0.9,0.97,0.92,0.72,0.93,0.825,0.825,1941.1000000000001,False
PTC,True,True,142.72,3.66,3.94,1.0,0.3,0.7,4.67,107.65,21.0,566100.0,True,True,1.7819501791714714,0.0,-0.0,-0.0,-0.0,0.81,0.84,0.78,0.87,0.82,0.83,0.825,0.81,0.84,0.78,0.87,0.82,0.83,0.825,0.825,2997.12,False
CONFIPET,True,True,45.65,2.23,4.68,2.07,0.01,0.75,2.56,31.82,39.0,597358.0,True,True,2.0393013100436685,73.92,43.92,1.15,0.84,0.75,0.88,0.89,0.71,0.81,0.83,0.8200000000000001,0.75,0.88,0.89,0.71,0.81,0.83,0.8200000000000001,0.8200000000000001,1780.35,False
ADANIGREEN,True,True,1068.95,0.03,0.96,6.38,6.89,0.83,46.97,940.71,2.0,4532486.0,True,True,1.794579703670613,359.11,-0.0,0.0,-0.0,0.59,0.53,0.96,0.99,0.77,0.83,0.8,0.59,0.53,0.96,0.99,0.77,0.83,0.8,0.8,2137.9,True
DEN,True,False,37.77,4.61,5.29,10089.99,0.0,0.64,2.33,20.35,43.0,297048.0,True,True,2.3016453875055993,0.13,30.89,,0.0,0.83,0.91,1.0,0.47,0.8,0.79,0.795,0.83,0.91,1.0,0.47,0.8,0.79,0.795,0.795,1624.1100000000001,False
EKC,True,False,70.35,0.57,19.53,11.15,0.0,0.88,3.81,41.42,26.0,1580399.0,True,True,3.5159705159705155,5.22,2.26,5.9,0.0,0.66,0.98,0.99,0.47,0.78,0.81,0.795,0.66,0.98,0.99,0.47,0.78,0.81,0.795,0.795,1829.1,False
